dt_refr,fraction_ALIF,thr,alpha,beta,kappa,rho,gamma,FR_target,FR_reg,adam_eps,adam_beta1,adam_beta2,T-Error,T-Wrongs
2,0.5637516949207586,1.0811060612860037,0.8332991477383596,0.3493922142549733,0.7893403273772491,0.9564597339371921,0.1438947468354321,0.05811306713710284,75.421473994106,1.639546520382941e-05,0.9291934064321883,0.8153559426914011,2.6888747342735666,60.12695207433124
2,0.4314874375632482,2.7379337016670546,0.8819855383994113,0.5824573439543833,0.7606841839234603,0.9821287696960017,0.15338269209232086,0.08811346220155925,73.49416939821322,2.5964622351900597e-06,0.9679364849894934,0.8591283858307868,5.6641221136259725,90.16511095212599
3,0.9347793982638668,2.284035094506952,0.5401690011359365,0.4031963249052709,0.39585947148658474,0.9978562165411263,0.14425449101887983,0.03888900275127444,74.36715080895333,4.4853504327041695e-05,0.9424867970312231,0.8166887549488225,2.1434649228860616,55.20024125601777
3,0.3089285523565351,2.138096237269351,0.5910665212830151,1.0291272004715384,0.17385237618867094,0.9183377156431738,0.7876858739324079,0.006766754401165577,198.1838981754422,6.674014387328978e-05,0.9790828056350631,0.9272382702685875,3.560530878911443,78.63323034180875
3,0.4963106246238574,2.9855465506306915,0.5514289387369171,0.18297977038465393,0.35944883731121813,0.9463040893297382,0.583111936387039,0.08133726210408794,83.84731718502604,7.39030177636452e-05,0.8347596717741541,0.8657471702539736,2.4992282625926228,66.2042205260718
4,0.25217431872030255,2.197159533028529,0.9115205383227529,2.222625323226507,0.4626489225520981,0.9224776250758886,0.8026143085755326,0.007730034115698405,15.516158412122397,3.045720111793944e-06,0.9160336700226104,0.9267724403947906,2.5906203130215344,63.48363189640606
3,0.8184692441233206,2.6629035526011453,0.5317107355185313,1.8183699578866825,0.12684424935561706,0.9724618513557708,0.2301434896035714,0.06165516050793787,135.23251275433296,1.6959770341781243e-06,0.9080605322871896,0.8352323922858503,2.6903222272568943,67.24062635423553
3,0.8201057201865107,2.8996996544412155,0.7724916887653834,2.075571791424623,0.676207832162555,0.9906335863691408,0.2877301179504896,0.07019603794130565,103.12192239715611,5.062710579198418e-05,0.9855663501715147,0.8789563749623306,2.873138904560259,70.52944467076541
3,0.5311993008917741,1.3836018291975427,0.8346451567618711,2.1086323699379554,0.33530122637926457,0.9322711127451975,0.12046271532390418,0.013348783462097617,86.51931595756179,1.575742038682513e-05,0.846215814595479,0.8776754435063506,2.308586579521487,60.18358868355121
2,0.49301097525839044,2.5996950633130025,0.8481192556385699,0.03274261039646121,0.7402290077035953,0.9898171328338332,0.5298415856521614,0.07048854827641254,133.45610961032887,3.574515985558789e-05,0.9090860868864357,0.9504717613191749,1.9298840165009055,55.47539869574033
3,0.5476978473696057,2.8213262393691836,0.96823988761077,0.7504264181542198,0.4813335026234493,0.9520627422111572,0.10890172648903619,0.0156572361684886,121.79572536108256,1.8616032893907727e-05,0.941165714039471,0.9693929236263565,2.3688167699461182,61.40132267256584
4,0.6377636922925102,1.6658698950104993,0.9090240207794713,1.2743213091314383,0.13109463011918604,0.9924454385176245,0.6120986780912122,0.09246847355442722,106.35137729642403,4.540765588276147e-05,0.8800336298508061,0.903763679478734,2.4798878073339834,65.73936774671853
