dt_refr,fraction_ALIF,thr,alpha,beta,kappa,rho,gamma,FR_target,FR_reg,adam_eps,adam_beta1,adam_beta2,T-Error,T-Wrongs
4,0.8203949304731981,2.2354308712163604,0.7817153534755831,2.3337447137558427,0.5935849394758644,0.9356351479709842,0.4617414962668124,0.0473825976022281,47.089063047180026,4.6034353484725784e-05,0.8257428734376093,0.9692847845759398,4.651160880781537,97.82349558217274
3,0.458858115279894,2.8598482117977406,0.9007842493988848,0.05906133161508649,0.7536069296532699,0.916574822971649,0.21797954066036834,0.028774603830748965,3.8660394533196705,9.812812041335158e-05,0.8907333411505557,0.9901324300675433,5.118445033925993,97.6694047022345
4,0.8168812113558763,2.0897003300037165,0.904829309366691,0.6614542993487609,0.3428488252022349,0.9555520262002766,0.8141447672655917,0.08309760345772545,158.4276477707862,8.173670786646521e-05,0.9173901187744964,0.9107785963439059,4.551080457953898,98.12460664048635
3,0.4684252611443657,1.184182500578815,0.5311922480938042,1.9316161331879942,0.6376345179036614,0.9211214201070058,0.916234851991417,0.029437664968049088,143.25251057841052,1.378615224468867e-05,0.9499880385910823,0.8157628083117368,4.777832427577771,97.60405822299975
2,0.6495169762987099,2.8234064575689874,0.588459142781572,0.3291830844523786,0.3445196087612812,0.91368467906303,0.5973394020236066,0.04481930545955415,84.84114606530409,8.044701853977723e-06,0.9786713883874308,0.8028499961473555,4.403252013879689,97.13408218993027
3,0.7480005960540463,2.0516963754121553,0.686622978657941,0.11759657655414427,0.2878711959944678,0.9946435546203032,0.9413865099621505,0.09404721169441403,134.5044542764766,3.9000982142704905e-05,0.9871036475706746,0.8747847377042772,4.562363012006172,97.8873254030477
4,0.9642502945891225,1.224365830040981,0.6464242691026056,1.470451550468597,0.26941293391286514,0.9864548308765414,0.6943348576915845,0.016424044137966578,150.87573414051775,1.0125134410343707e-06,0.9876223616258996,0.9931776386621094,4.106024747147137,93.79434142902247
3,0.22039030977353902,1.2129108721075776,0.9721141657446044,0.38777436952041283,0.6996626102682335,0.9104382304552882,0.4003811592154737,0.044467117158119185,106.50618795854558,5.538725424494753e-05,0.9635671200649647,0.8245188732199787,5.773003211929131,95.30768768831972
4,0.9607090853131568,2.493840337746745,0.6447484093058118,1.6205274387423456,0.11789014529738726,0.9245977226179534,0.4323359735940593,0.08945234919743462,42.34510625638593,9.495646233014314e-05,0.9285261830143401,0.8333853861586117,4.339539943591417,97.87751492868291
3,0.6393446647874876,2.8860507874930987,0.9377011794595467,2.1366658885179035,0.29762802149541556,0.9795308909685041,0.8060229526686644,0.09961981660669202,68.96919718050995,4.8021374590690965e-05,0.9720045453758613,0.8990217321726509,4.523753512965524,98.5797878209286
3,0.5579209265357765,2.4242847676937624,0.8147852082354522,0.4678617458551993,0.6133894841880521,0.9220201916668399,0.6533617363928972,0.07208854438009013,48.07905924942367,7.531938475766143e-05,0.9134735748796987,0.8593112406464141,4.7993072650461714,98.35927713353075
3,0.6934819485699106,2.739027323972385,0.581204992628565,0.10095346939954926,0.29766345612527584,0.9479576130428593,0.12759378849882566,0.07971254972740499,170.35274326839308,8.649739123181026e-05,0.9763346894349545,0.8977855750229954,4.556856235761032,98.27439998691649
4,0.24814668617426697,1.6276566127186571,0.5460999121123986,0.16580091277215245,0.5165319028589238,0.9699641483339545,0.9256923733857765,0.04278425806578628,80.88569930905054,6.130818681092703e-05,0.9972312062860562,0.9218143433359143,4.8198547936307445,98.20219514000866
3,0.6110021323943418,2.5072622820282744,0.7111033825582793,1.3289881001605774,0.6476717693834415,0.9742354937262515,0.6324490257162891,0.020847390546735997,191.39097555924215,7.619470136299407e-05,0.9363052634248222,0.8441295675134962,4.551443996184624,97.6503048081345
3,0.5589756607493355,2.334665741887328,0.9791108173337267,0.6514080338515278,0.7269745783365867,0.9326442994258836,0.7541179508922464,0.0027614660662547592,37.413846337072634,5.007946638722826e-05,0.9642784424174413,0.8009645252224851,4.041515437987716,92.6999770271216
3,0.6657408453855763,1.3040239771771678,0.8106395764130109,0.47922388450816744,0.7322434822173846,0.9643066813560849,0.45811613564014175,0.03982192774273852,99.22061735013999,4.954791703298337e-05,0.9823445202748569,0.9965535546005347,5.531931340558565,97.27942209211876
